# Groups associated with records, within table '/Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_table_16S.txt'
# Based on groups table '/Users/cliftonbdemesquita/Desktop/FAPROTAX_1.2.9/FAPROTAX.txt'
# Generated on: 2026.01.07 18:10:38
# Used command:
#   /Users/cliftonbdemesquita/Desktop/FAPROTAX_1.2.9/collapse_table.py -i /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_table_16S.txt -o /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/func_table.tsv -g /Users/cliftonbdemesquita/Desktop/FAPROTAX_1.2.9/FAPROTAX.txt -d taxonomy -c '#' -v --out_groups2records_table /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_faprotax_output.txt --out_groups2records_table_dense /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_faprotax_output_long.txt
#
# Summary:
#   Loaded 92 groups comprising 8355 members (5060 unique members)
#   Established 6905 assignments of records to groups
#   15660 out of 19274 records could not be assigned to any group (leftovers)
#   Number of groups represented: 44
#
record	group
"Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,OTU_16142"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,OTU_19629"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Polycyclovorans,OTU_12953"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum,OTU_3061"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,OTU_6125"	
"Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,OTU_12096"	predatory_or_exoparasitic
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,OTU_9285"	
"Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,OTU_11675"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,OTU_6474"	chemoheterotrophy
"Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,OTU_18005"	
"Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,OTU_13096"	predatory_or_exoparasitic
"Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,NA,NA,OTU_3957"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,KF-JG30-B3,NA,OTU_9670"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,OTU_7436"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,NA,NA,OTU_19961"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Parafilimonas,OTU_18034"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,OTU_3246"	
"Bacteria,NA,NA,NA,NA,NA,OTU_9249"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,OTU_7763"	chemoheterotrophy
"Bacteria,Myxococcota,Polyangia,Polyangiales,NA,NA,OTU_7369"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,OTU_8821"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,NA,OTU_15758"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,OTU_5047"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA,OTU_10845"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,OTU_8265"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,OTU_19880"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,cvE6,NA,OTU_17298"	intracellular_parasites
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,OTU_14742"	
"Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,OTU_13201"	predatory_or_exoparasitic
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,OTU_12287"	
"Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA,OTU_9437"	
"Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,NA,OTU_11306"	
"Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Aquisphaera,OTU_20245"	
"Bacteria,Acidobacteriota,Subgroup 22,NA,NA,NA,OTU_14970"	
"Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,OTU_9610"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,OTU_15769"	
"Bacteria,NA,NA,NA,NA,NA,OTU_11912"	
"Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,OTU_19422"	
"Bacteria,Cyanobacteria,Vampirivibrionia,Vampirovibrionales,Vampirovibrionaceae,Vampirovibrio,OTU_13484"	nonphotosynthetic_cyanobacteria
"Bacteria,Gemmatimonadota,Longimicrobia,Longimicrobiales,Longimicrobiaceae,YC-ZSS-LKJ147,OTU_14786"	
"Bacteria,Elusimicrobiota,Lineage IIb,NA,NA,NA,OTU_18771"	
"Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA,OTU_20169"	
"Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,OTU_19508"	aerobic_chemoheterotrophy,aromatic_compound_degradation,chemoheterotrophy
"Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexaceae,Oligoflexus,OTU_20357"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Tuwongella,OTU_17724"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,OTU_11155"	
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,OTU_18982"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,OTU_6328"	chemoheterotrophy
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Plantactinospora,OTU_10580"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus,OTU_14654"	fermentation,nitrate_reduction,chemoheterotrophy
"Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,OTU_7813"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,NA,OTU_5967"	methanol_oxidation,methylotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA,OTU_10912"	
"Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,OTU_18012"	
"Bacteria,Chloroflexi,Ktedonobacteria,C0119,NA,NA,OTU_3185"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,OTU_7628"	
"Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,OTU_13829"	predatory_or_exoparasitic
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_12864"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,OTU_3262"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,OTU_19134"	
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,OTU_9455"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Cyanobacteria,Sericytochromatia,NA,NA,NA,OTU_17692"	nonphotosynthetic_cyanobacteria
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,OTU_11042"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,OTU_6742"	
"Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,OTU_8315"	
"Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,OTU_11598"	
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_7306"	
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_16616"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,OTU_13475"	
"Bacteria,Actinobacteriota,Actinobacteria,NA,NA,NA,OTU_19741"	
"Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,NA,OTU_10451"	
"Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,OTU_17502"	predatory_or_exoparasitic
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Candidatus Glomeribacter,OTU_13203"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA,OTU_14764"	
"Bacteria,Chloroflexi,TK10,NA,NA,NA,OTU_12379"	
"Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter,OTU_18331"	
"Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,OTU_7939"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus Solibacter,OTU_9434"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,OTU_9184"	chemoheterotrophy
"Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,OTU_7526"	
"Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA,OTU_8086"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,OTU_20721"	
"Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NA,OTU_19361"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,OTU_6270"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA,OTU_13267"	
"Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,OTU_7753"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,NA,NA,OTU_6408"	
"Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,OTU_13035"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodopila,OTU_7616"	photoheterotrophy,phototrophy
"Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,OTU_16964"	
"Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,NA,OTU_6564"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Ellin517,OTU_12028"	
"Bacteria,NA,NA,NA,NA,NA,OTU_15721"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,OTU_8159"	
"Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA,OTU_11428"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,OTU_16202"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,OTU_13802"	
"Bacteria,NA,NA,NA,NA,NA,OTU_11141"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,OTU_8413"	
"Bacteria,Elusimicrobiota,Lineage IIb,NA,NA,NA,OTU_17322"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,UA11,NA,NA,OTU_14859"	
"Bacteria,Armatimonadota,NA,NA,NA,NA,OTU_9761"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,OTU_13643"	
"Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA,OTU_10730"	
"Bacteria,Acidobacteriota,Subgroup 25,NA,NA,NA,OTU_10409"	
"Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,OTU_11931"	predatory_or_exoparasitic
"Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,FFCH7168,OTU_7137"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup 17,NA,NA,OTU_5415"	
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,CPla-3 termite group,NA,OTU_5317"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,OTU_2087"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,NA,OTU_13165"	
"Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,OTU_13833"	
"Bacteria,Cyanobacteria,Sericytochromatia,NA,NA,NA,OTU_12469"	nonphotosynthetic_cyanobacteria
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Bauldia,OTU_8988"	
"Bacteria,Myxococcota,Polyangia,Polyangiales,Phaselicystidaceae,Phaselicystis,OTU_9009"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,SWB02,OTU_11914"	
"Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,NA,OTU_15983"	
"Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,Nannocystis,OTU_17667"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,NA,NA,OTU_16782"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,OTU_4641"	
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_4725"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,OTU_12735"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,OTU_20201"	
"Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,cvE6,NA,OTU_12810"	intracellular_parasites
"Bacteria,Actinobacteriota,NA,NA,NA,NA,OTU_8457"	
"Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,Nannocystis,OTU_9499"	
"Bacteria,Chloroflexi,Anaerolineae,SBR1031,NA,NA,OTU_10882"	
"Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,OTU_10942"	
"Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,NA,OTU_11159"	
"Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,NA,OTU_10433"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,OTU_14622"	
"Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,OTU_14888"	
"Bacteria,Chloroflexi,TK10,NA,NA,NA,OTU_18566"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus Xiphinematobacter,OTU_19135"	animal_parasites_or_symbionts
"Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexaceae,Oligoflexus,OTU_8219"	
"Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,OTU_8523"	
"Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,OTU_12170"	predatory_or_exoparasitic
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,OTU_12969"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,OTU_19073"	
"Bacteria,Armatimonadota,NA,NA,NA,NA,OTU_20036"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,B1-7BS,NA,OTU_11335"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,OTU_18541"	
"Bacteria,Myxococcota,bacteriap25,NA,NA,NA,OTU_7598"	
"Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,OTU_3664"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,OTU_11582"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,OTU_6973"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,OTU_13783"	
"Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA,OTU_16500"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amaricoccus,OTU_16675"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Planctomycetota,Phycisphaerae,mle1-8,NA,NA,OTU_13150"	
"Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera,OTU_11734"	fermentation,chemoheterotrophy
"Bacteria,Elusimicrobiota,Lineage IIb,NA,NA,NA,OTU_7138"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,OTU_21272"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,OTU_16804"	
"Bacteria,Planctomycetota,OM190,NA,NA,NA,OTU_11294"	
"Bacteria,Bdellovibrionota,Oligoflexia,Silvanigrellales,Silvanigrellaceae,Silvanigrella,OTU_15037"	
"Bacteria,Latescibacterota,NA,NA,NA,NA,OTU_10443"	
"Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,NA,OTU_8099"	chemoheterotrophy
"Bacteria,Acidobacteriota,Blastocatellia,DS-100,NA,NA,OTU_6267"	
"Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,OTU_15235"	predatory_or_exoparasitic
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA,OTU_12049"	
"Bacteria,Myxococcota,Myxococcia,Myxococcales,27F-1492R,NA,OTU_5991"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,OTU_18114"	aerobic_chemoheterotrophy,intracellular_parasites,chemoheterotrophy
"Bacteria,Acidobacteriota,AT-s3-28,NA,NA,NA,OTU_16406"	
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,OTU_16854"	
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_7250"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,OTU_9406"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,NA,OTU_12542"	
"Bacteria,Desulfobacterota,NA,NA,NA,NA,OTU_5873"	
"Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,NA,OTU_6559"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Polycyclovorans,OTU_7075"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,OTU_5102"	
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_6550"	
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_18613"	
"Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,OTU_20070"	
"Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,OTU_12153"	
"Bacteria,Gemmatimonadota,S0134 terrestrial group,NA,NA,NA,OTU_20468"	
"Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,NA,NA,OTU_11340"	
"Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,NA,NA,OTU_20957"	
"Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,NA,OTU_16442"	
"Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,NA,NA,OTU_9538"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,OTU_1854"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,OTU_9047"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,OTU_16477"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,NA,NA,OTU_11279"	
"Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,NA,NA,OTU_16582"	
"Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,NA,NA,OTU_20635"	
"Bacteria,NA,NA,NA,NA,NA,OTU_20131"	
"Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Tumebacillus,OTU_12728"	
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,OTU_9040"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Gammaproteobacteria,R7C24,NA,NA,OTU_14200"	
"Bacteria,Acidobacteriota,Subgroup 5,NA,NA,NA,OTU_15192"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,OTU_11473"	
"Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA,OTU_18586"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,OTU_6636"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,OTU_5890"	
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,OTU_13230"	
"Bacteria,NA,NA,NA,NA,NA,OTU_5358"	
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,OTU_8092"	
"Bacteria,Chloroflexi,Anaerolineae,SBR1031,NA,NA,OTU_15862"	
"Bacteria,Latescibacterota,NA,NA,NA,NA,OTU_10271"	
"Bacteria,Proteobacteria,Gammaproteobacteria,CCD24,NA,NA,OTU_7875"	
"Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,NA,OTU_17168"	
"Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,NA,OTU_20942"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Candidatus Berkiella,OTU_16834"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,OTU_7265"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,OTU_8423"	
"Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,OTU_8794"	
"Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,NA,OTU_16789"	
"Bacteria,Cyanobacteria,Vampirivibrionia,Vampirovibrionales,Vampirovibrionaceae,NA,OTU_10990"	nonphotosynthetic_cyanobacteria
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,OTU_7293"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,OTU_8344"	
"Bacteria,Actinobacteriota,Acidimicrobiia,NA,NA,NA,OTU_8220"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,OTU_7263"	
"Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,OTU_12125"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,OTU_12595"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,OTU_15107"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,OTU_9536"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,OTU_17259"	
"Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,OTU_2910"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Ahniella,OTU_17875"	
"Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,OTU_14312"	
"Bacteria,Elusimicrobiota,Elusimicrobia,Lineage IV,NA,NA,OTU_6413"	
"Bacteria,Actinobacteriota,Acidimicrobiia,NA,NA,NA,OTU_7400"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,OTU_12046"	chemoheterotrophy
"Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,OTU_10262"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Tuwongella,OTU_18392"	
"Bacteria,Actinobacteriota,NA,NA,NA,NA,OTU_9546"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,OTU_7067"	
"Bacteria,Bacteroidota,Ignavibacteria,SJA-28,NA,NA,OTU_17419"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,OTU_9742"	
"Bacteria,Elusimicrobiota,Lineage IIb,NA,NA,NA,OTU_17149"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,NA,OTU_5802"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,NA,OTU_12935"	
"Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,NA,OTU_15630"	
"Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,OTU_8239"	
"Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,OTU_18740"	
